Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),181833.5,15525.0,54461.99,278795.17,1995/10/30 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),100345.72,3250.0,54173.73,179055.21,2001/09/03 00:00:00+00,0.0,
District Attorney,BUREAU CHIEF,Management,198906.4,2400.0,0.0,222702.82,2000/08/14 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164874.49,14375.0,84700.58,287711.89,2000/09/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1177.5,0.0,0.0,1177.5,2022/05/01 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),171870.38,15525.0,51713.18,270488.02,1995/05/22 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),111233.73,1350.0,52315.02,177008.37,2015/09/14 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",INVESTIGATIONS ASSISTANT,Association of Municipal Employees (AME-White Collar),13343.02,0.0,0.0,13637.74,2019/07/15 00:00:00+00,0.0,2022/06/01 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),78123.3,0.0,39414.98,134820.98,2017/10/23 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,2750.0,75918.91,200253.5,2004/09/13 00:00:00+00,0.0,
Parks,EMERGENCY MEDICAL TECHNICIAN,Temp,3086.67,0.0,0.0,3086.67,2022/06/11 00:00:00+00,0.0,2022/07/27 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),154903.4,6900.0,20631.65,205841.15,2010/06/28 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),77347.5,4025.0,8005.08,133601.5,2015/09/14 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM IV,Association of Municipal Employees (AME-White Collar),99133.81,2250.0,0.0,106530.23,1998/12/21 00:00:00+00,0.0,
Social Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),37143.4,0.0,0.0,37711.82,2006/07/24 00:00:00+00,0.0,
Parks,EMERGENCY MEDICAL TECHNICIAN,Temp,3086.67,0.0,0.0,3086.67,2022/06/11 00:00:00+00,0.0,2022/07/27 00:00:00+00
Social Services,MEDICAL SVCS SPECIALIST,Association of Municipal Employees (AME-White Collar),46541.02,0.0,0.0,46653.44,2020/06/15 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,CAMEF,1004.38,0.0,0.0,1004.38,2022/05/01 00:00:00+00,0.0,2020/11/27 00:00:00+00
Public Works,SR WASTEWTR TRTMNT PLNT HELPER,Association of Municipal Employees (AME-Blue Collar),52378.0,1750.0,9871.41,66979.83,2003/07/07 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),162061.2,9200.0,11432.27,207804.87,2006/09/11 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12650.0,6369.12,187984.62,2000/09/18 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,2162.51,0.0,0.0,2162.51,2022/09/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),53790.4,0.0,2314.7,70538.26,2021/04/12 00:00:00+00,0.0,
Social Services,CHIEF ACCOUNTANT,Association of Municipal Employees (AME-White Collar),125167.42,2250.0,0.0,133880.84,2000/09/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1037.5,0.0,0.0,1037.5,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),90280.41,3750.0,41965.04,215069.41,1986/09/08 00:00:00+00,61406.44,2022/10/28 00:00:00+00
Legislature,LEGISLATIVE AIDE III,Management,121041.0,2600.0,0.0,134890.42,1989/01/09 00:00:00+00,0.0,
Social Services,ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),4420.5,0.0,329.25,5208.57,2020/07/27 00:00:00+00,531.0,2022/02/11 00:00:00+00
Public Works,RADIO DISPATCHER,Association of Municipal Employees (AME-Blue Collar),34451.84,0.0,10312.33,45201.59,2021/07/26 00:00:00+00,0.0,
County Clerk,COURIER,Association of Municipal Employees (AME-Blue Collar),3969.0,0.0,0.0,3969.0,2022/11/14 00:00:00+00,0.0,
District Attorney,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),48300.41,0.0,0.0,48946.83,2013/09/09 00:00:00+00,0.0,
Public Works,BRIDGE OPERATOR,Temp,11816.24,0.0,218.04,12034.28,2022/05/02 00:00:00+00,0.0,2022/09/29 00:00:00+00
Social Services,CASEWORKER,Association of Municipal Employees (AME-White Collar),55411.0,0.0,0.0,55523.42,2020/06/29 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3183.14,0.0,0.0,3183.14,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,612.76,0.0,0.0,612.76,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,919.38,0.0,0.0,919.38,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,390.0,0.0,0.0,390.0,2022/10/11 00:00:00+00,0.0,
Social Services,FUEL ASSISTANCE WORKER I,,9732.5,0.0,0.0,9732.5,2022/12/27 00:00:00+00,0.0,2022/07/24 00:00:00+00
Public Works,CUSTODIAL WORKER III,Association of Municipal Employees (AME-Blue Collar),73342.6,2600.0,9986.88,89997.9,1985/12/02 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,2100.0,0.0,0.0,2100.0,2022/08/25 00:00:00+00,0.0,2022/10/14 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1212.5,0.0,0.0,1212.5,2022/05/01 00:00:00+00,0.0,
Public Works,CONSTRUCTION EQUIP OPER,Association of Municipal Employees (AME-Blue Collar),65656.4,1750.0,28981.43,99911.25,2004/05/17 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),7254.74,0.0,0.0,7789.88,2021/09/29 00:00:00+00,0.0,2022/08/11 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1350.0,19439.6,136692.98,2014/07/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,5547.5,0.0,0.0,5547.5,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,2250.0,286.05,72656.27,2002/12/30 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I (INVEST),Deputy Sheriffs PBA (DSPBA),115210.93,3250.0,65250.87,194966.78,2002/04/22 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM III,Association of Municipal Employees (AME-White Collar),81236.39,2250.0,1225.13,89279.54,2002/08/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,845.0,0.0,0.0,845.0,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST TRAINEE,Association of Municipal Employees (AME-White Collar),37170.0,0.0,0.0,37282.42,2022/02/14 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,2750.0,88806.32,219400.19,2004/09/13 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),16849.28,1458.33,151.54,21720.18,2003/08/27 00:00:00+00,0.0,
Public Works,DRIVER,Association of Municipal Employees (AME-Blue Collar),32233.4,0.0,0.0,32595.82,2021/07/26 00:00:00+00,0.0,
County Executive,DIRECTOR OF PERFORMANCE MGT,Management,160929.2,1250.0,0.0,164412.62,2012/03/19 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),92220.53,1750.0,0.0,94670.53,2002/08/05 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),97863.9,4025.0,3714.29,124061.31,2015/09/14 00:00:00+00,0.0,
Health Services,LABORATORY TECHNICIAN,Association of Municipal Employees (AME-White Collar),39173.21,0.0,0.0,39285.63,2021/09/20 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),88300.9,3450.0,25416.48,135043.72,2016/09/06 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12650.0,13501.75,201741.25,2005/09/12 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2475.0,0.0,0.0,2475.0,2022/07/05 00:00:00+00,0.0,
County Executive,SR VETERANS SRVC OFFICER,Association of Municipal Employees (AME-White Collar),61655.6,0.0,0.0,62476.02,2015/12/07 00:00:00+00,0.0,
Social Services,FUEL ASSISTANCE WORKER II,Temp,12431.6,0.0,0.0,12431.6,2022/11/28 00:00:00+00,0.0,2022/05/22 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,857.5,0.0,0.0,857.5,2022/05/01 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,7535.75,0.0,0.0,7535.75,2021/11/13 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST II,Association of Municipal Employees (AME-White Collar),70761.8,0.0,0.0,71629.22,2011/01/03 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,6770.5,0.0,0.0,6770.5,2021/11/20 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,601.88,0.0,0.0,601.88,2022/09/01 00:00:00+00,0.0,
Board Of Elections,ASSISTANT ELECTION CLERK 5,Board of Elections,48177.76,0.0,11043.5,59333.68,2020/09/11 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),90492.81,2250.0,0.0,93442.81,2000/10/16 00:00:00+00,0.0,
Social Services,CASEWORK SUPERVISOR,Association of Municipal Employees (AME-White Collar),94358.4,1750.0,0.0,100934.82,2005/03/28 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,7350.0,0.0,0.0,7350.0,2021/10/23 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,8497.5,0.0,0.0,8497.5,2022/05/16 00:00:00+00,0.0,2022/10/02 00:00:00+00
District Attorney,PRINCIPAL ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),57509.79,1250.0,0.0,59539.21,2011/09/12 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,109264.6,1750.0,0.0,111014.6,2004/11/01 00:00:00+00,0.0,2022/11/11 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,620.0,0.0,0.0,620.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,702.5,0.0,0.0,702.5,2022/05/01 00:00:00+00,0.0,
District Attorney,BUREAU CHIEF,Management,196021.91,2250.0,0.0,221736.33,1998/04/20 00:00:00+00,0.0,
Health Services,CHEMIST I (PUBLIC HEALTH),Association of Municipal Employees (AME-White Collar),51443.64,0.0,0.0,51556.06,2021/10/12 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),67420.41,1250.0,1431.07,73270.9,2009/03/02 00:00:00+00,0.0,
Police,PR PROGRAMMER ANALYST,Association of Municipal Employees (AME-White Collar),128930.39,2250.0,0.0,137728.81,1999/11/22 00:00:00+00,0.0,
Public Works,BUS TRANSPORTATION TECH,Association of Municipal Employees (AME-White Collar),32394.62,875.0,0.0,59626.35,2007/02/20 00:00:00+00,23321.59,2022/07/10 00:00:00+00
Probation,PROBATION OFFICER,Probation Officers Association (POA),92201.62,1750.0,0.0,94651.62,2003/07/07 00:00:00+00,0.0,
Legislature,OFFICE SYSTEMS ANALYST III,Association of Municipal Employees (AME-White Collar),96056.98,1750.0,0.0,102640.4,2003/04/28 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,395.18,53402.89,2021/12/06 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",EMERG SVCS DISPATCHER I,Association of Municipal Employees (AME-Blue Collar),80724.51,1750.0,11394.66,101525.43,2003/12/22 00:00:00+00,0.0,
Social Services,ASST BUREAU DIR OF SOC SER,Association of Municipal Employees (AME-White Collar),100925.4,2250.0,0.0,108417.82,1998/09/08 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3242.76,0.0,0.0,3242.76,2022/05/01 00:00:00+00,0.0,
Parks,AUTO MECHANIC III,Association of Municipal Employees (AME-Blue Collar),66674.8,1750.0,12389.0,85048.22,2005/08/22 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2535.0,0.0,0.0,2535.0,2020/07/08 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1750.89,0.0,0.0,1750.89,2022/05/01 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER II,Association of Municipal Employees (AME-White Collar),84686.6,1750.0,40583.62,138555.08,2004/11/15 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",FIRE MARSHAL I,Association of Municipal Employees (AME-White Collar),60325.4,0.0,9282.28,73827.69,2014/04/07 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),65652.17,2250.0,2207.19,73560.78,2000/06/26 00:00:00+00,0.0,
District Attorney,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55341.2,1750.0,0.0,59966.62,2006/06/26 00:00:00+00,0.0,
Audit & Control,CHIEF FINANCIAL ANALYST,Association of Municipal Employees (AME-White Collar),114307.4,2400.0,0.0,135374.25,1995/09/11 00:00:00+00,12746.43,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2246.25,0.0,0.0,2246.25,2022/07/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM III,Association of Municipal Employees (AME-White Collar),86609.82,1750.0,372.53,93250.77,2005/09/12 00:00:00+00,0.0,
Health Services,DRUG COUNSELOR,Association of Municipal Employees (AME-White Collar),58663.4,0.0,0.0,60943.82,2016/04/19 00:00:00+00,0.0,
County Executive,ASSISTANT BUDGET DIRECTOR,Association of Municipal Employees (AME-White Collar),126644.39,1750.0,14223.24,149255.05,2005/10/31 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),177546.51,12650.0,28790.82,244788.35,2000/09/18 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,4312.5,0.0,0.0,4312.5,2022/04/27 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,845.0,0.0,0.0,845.0,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,1950.0,118703.27,241070.64,2010/09/20 00:00:00+00,0.0,
Health Services,REGISTERED NURSE (PT),Temp,3744.09,0.0,0.0,3744.09,2017/11/06 00:00:00+00,0.0,
Information Technology Service,PR PROGRAMMER ANALYST,Association of Municipal Employees (AME-White Collar),51548.41,750.0,777.06,127045.1,1999/10/25 00:00:00+00,67983.51,2022/05/30 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106281.13,1350.0,12990.33,129557.24,2013/09/30 00:00:00+00,0.0,
Parks,PAYROLL SUPERVISOR,Association of Municipal Employees (AME-White Collar),70467.0,1750.0,2422.59,78377.01,2005/08/22 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,1297.5,0.0,0.0,1297.5,2022/05/23 00:00:00+00,0.0,2022/07/13 00:00:00+00
County Executive,COUNTY EXEC ASSISTANT I,Management,62470.2,937.5,0.0,68904.13,2012/03/05 00:00:00+00,2032.24,2022/09/30 00:00:00+00
Police,LIEUTENANT (POLICE),Superior Officers Association (SOA),192775.9,17825.0,57902.83,295962.07,1991/10/21 00:00:00+00,0.0,
Health Services,DRUG COUNSELOR,Association of Municipal Employees (AME-White Collar),3095.91,0.0,0.0,3669.67,2021/06/29 00:00:00+00,573.76,2022/01/19 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),67025.0,0.0,8855.41,101823.99,2018/01/29 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),99588.93,3250.0,29733.94,147410.81,2000/08/07 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),54677.41,1250.0,0.0,57739.83,2009/12/21 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,16675.0,20523.85,225653.11,1993/12/06 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE (SP SPK),Association of Municipal Employees (AME-White Collar),15713.1,0.0,0.0,15713.1,2022/09/06 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),20252.85,1940.63,151.54,25976.78,1999/02/24 00:00:00+00,0.0,
Social Services,PSYCHIATRIC SOCIAL WORKER,Association of Municipal Employees (AME-White Collar),31133.8,0.0,0.0,31133.8,2020/09/28 00:00:00+00,0.0,2022/08/02 00:00:00+00
Health Services,ASSOC PUB HEALTH ENGINEER,Association of Municipal Employees (AME-White Collar),80438.4,0.0,1967.89,83743.71,2016/07/05 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,622.5,0.0,0.0,622.5,2022/05/01 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),17548.11,1875.0,117.86,23149.34,1999/09/01 00:00:00+00,0.0,
Social Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),9705.7,0.0,0.0,9705.7,2020/01/13 00:00:00+00,0.0,2022/05/19 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2643.75,0.0,0.0,2643.75,2022/07/11 00:00:00+00,0.0,
Health Services,MENTAL HEALTH ASSISTANT,Association of Municipal Employees (AME-White Collar),33875.2,0.0,188.1,34063.3,2022/01/31 00:00:00+00,0.0,2022/10/14 00:00:00+00
Police,SCHOOL CROSSING GUARD (Temporary),Temp,140.0,0.0,0.0,140.0,2022/08/25 00:00:00+00,0.0,2022/08/31 00:00:00+00
Sheriff,CHIEF OF STAFF (SHERIFF),Management,37740.6,4250.0,0.0,299083.44,1986/10/06 00:00:00+00,226024.26,2022/02/25 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2580.0,0.0,0.0,2580.0,2022/05/01 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,4050.0,0.0,0.0,4050.0,2022/06/01 00:00:00+00,0.0,2022/09/01 00:00:00+00
Police,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),55432.4,1250.0,5271.12,62709.94,2010/10/04 00:00:00+00,0.0,
Sheriff,JAIL COOK,Association of Municipal Employees (AME-Blue Collar),55064.4,0.0,11898.98,72596.63,2017/10/23 00:00:00+00,0.0,
District Attorney,ASST TO DISTRICT ATTORNEY,Management,198398.1,0.0,0.0,198510.52,2022/01/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2175.0,0.0,0.0,2175.0,2022/07/05 00:00:00+00,0.0,
Audit & Control,CHIEF AUDITOR,Association of Municipal Employees (AME-White Collar),127122.74,2400.0,0.0,135986.16,1996/12/30 00:00:00+00,0.0,
Traffic Violations Bureau,TRAFFIC COURT SPECIALIST,Association of Municipal Employees (AME-White Collar),47077.8,0.0,6.8,47630.02,2019/02/13 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),110488.8,5175.0,16837.96,152769.7,2013/10/28 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),6836.97,0.0,0.0,6949.39,2021/04/30 00:00:00+00,0.0,
Health Services,ASSISTANT HYDROGEOLOGIST,Association of Municipal Employees (AME-White Collar),93847.2,1750.0,4574.6,105052.22,2007/11/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,650.0,0.0,0.0,650.0,2022/05/01 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),38414.2,0.0,0.0,38768.62,2016/06/06 00:00:00+00,0.0,
Health Services,REGISTERED NURSE,Association of Municipal Employees (AME-White Collar),5888.15,0.0,236.4,6124.55,2022/04/05 00:00:00+00,0.0,2022/05/10 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,11500.0,41434.46,233559.66,2002/11/12 00:00:00+00,0.0,
Medical Examiners Office,FORENSIC SCIENTIST III (D CHM),Association of Municipal Employees (AME-White Collar),95849.0,1250.0,777.2,101820.28,2010/09/07 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,17250.0,54984.94,252860.14,1992/09/08 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT (SPANISH SPK),Association of Municipal Employees (AME-White Collar),34328.4,0.0,0.0,34440.82,2015/01/20 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),58533.43,0.0,23975.95,90548.15,2018/05/14 00:00:00+00,0.0,
District Attorney,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),20593.6,0.0,0.0,20706.02,2022/06/06 00:00:00+00,0.0,
Social Services,CHILD SUPPORT SPCLST I,Association of Municipal Employees (AME-White Collar),69690.0,2400.0,0.0,75692.42,1997/11/10 00:00:00+00,0.0,
Social Services,ASSETS ANALYST,Association of Municipal Employees (AME-White Collar),75192.01,1250.0,82.18,80456.61,2009/01/05 00:00:00+00,0.0,
Social Services,ASST BUREAU DIR OF SOC SER,Association of Municipal Employees (AME-White Collar),102533.4,2400.0,0.0,110144.82,1994/02/28 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,180.0,0.0,0.0,180.0,2022/05/21 00:00:00+00,0.0,
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),112874.48,2600.0,0.0,116174.48,1989/01/30 00:00:00+00,0.0,
Health Services,AIDS COUNSELOR I,Association of Municipal Employees (AME-White Collar),76344.4,2600.0,4090.7,86970.52,1991/10/15 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I (INVEST),Deputy Sheriffs PBA (DSPBA),113888.83,1950.0,38437.31,165294.2,2010/11/29 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),65656.4,1250.0,737.23,68529.05,2004/11/01 00:00:00+00,0.0,
Health Services,AIDS COUNSELOR I,Association of Municipal Employees (AME-White Collar),76344.41,2250.0,0.0,82529.83,2002/07/01 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,606.25,0.0,0.0,606.25,2022/09/01 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),29138.14,1041.67,378.18,36228.9,2005/08/24 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,750.0,0.0,0.0,750.0,2022/07/05 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,14375.0,71548.09,274377.35,1999/10/11 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,11500.0,86528.74,266994.24,2002/11/12 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),11145.78,0.0,78.75,12259.35,2021/04/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),63526.8,0.0,6970.16,86867.04,2019/09/09 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1285.0,0.0,0.0,1285.0,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,4912.5,0.0,0.0,4912.5,2021/07/06 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM III,Association of Municipal Employees (AME-White Collar),89312.99,2250.0,7142.73,103349.14,1998/11/16 00:00:00+00,0.0,
County Clerk,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),20894.4,0.0,0.0,20894.4,2017/01/06 00:00:00+00,0.0,2022/07/22 00:00:00+00
Police,DETENTION ATTENDANT,Association of Municipal Employees (AME-White Collar),44699.2,0.0,55.52,49158.27,2016/12/12 00:00:00+00,0.0,
Public Works,INSTRUMENTATION TECH,Association of Municipal Employees (AME-White Collar),77529.6,1750.0,4886.95,88996.97,2004/07/06 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),15306.1,0.0,273.51,17059.03,2016/08/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),77525.35,11500.0,972.35,266935.64,2005/09/12 00:00:00+00,140043.12,2022/07/06 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),154173.4,15525.0,37607.63,235361.43,1995/05/22 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",RESOURCE MGT OFCR,Association of Municipal Employees (AME-White Collar),31617.08,0.0,0.0,31948.08,2011/01/10 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12075.0,23858.36,211522.86,2006/09/11 00:00:00+00,0.0,
Social Services,CHILD SUPPORT SPCLST I,Association of Municipal Employees (AME-White Collar),69689.99,2400.0,0.0,75692.41,1992/06/29 00:00:00+00,0.0,
Civil Service,CHIEF OF EXAMINATIONS,Association of Municipal Employees (AME-White Collar),138639.39,2600.0,0.0,153661.81,1976/07/19 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,873.75,0.0,0.0,873.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12650.0,85031.81,273271.31,2000/09/18 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2841.25,0.0,0.0,2841.25,2021/10/20 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST TRAINEE,,42555.12,0.0,0.0,42667.54,2019/12/16 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),162563.7,6325.0,9815.38,210651.78,2011/12/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,828.75,0.0,0.0,828.75,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1169.38,0.0,0.0,1169.38,2022/05/01 00:00:00+00,0.0,
District Attorney,PRINCIPAL ASST DIST ATTY,Management,113213.0,1250.0,0.0,114575.42,2022/03/01 00:00:00+00,0.0,2022/01/18 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,867.5,0.0,0.0,867.5,2022/05/01 00:00:00+00,0.0,
